osm_id,name,lat,lon,type,city,geo_h3_10
192192625,Ж/Д Вокзал,56.856321,60.6057028,tram_stop,Екатеринбург,8a10c228a68ffff
192192653,Кондукторская,56.8598948,60.6272177,tram_stop,Екатеринбург,8a10dc924177fff
192192654,Учителей,56.8579512,60.6302607,tram_stop,Екатеринбург,8a10dc92402ffff
192196917,Новгородцевой,56.8369488,60.6802533,tram_stop,Екатеринбург,8a10dc920697fff
192196926,Сиреневый бульвар,56.8350397,60.6850638,tram_stop,Екатеринбург,8a10dc923d17fff
192202795,ЦПКиО,56.8186606,60.6388362,tram_stop,Екатеринбург,8a10dc935a37fff
192202801,Тверитина,56.8227448,60.6359284,tram_stop,Екатеринбург,8a10dc9264dffff
192237601,7 ключей,56.8835593,60.4981621,tram_stop,Екатеринбург,8a10c2281d57fff
192237617,Маневровая,56.8737876,60.5182978,tram_stop,Екатеринбург,8a10c22814dffff
192237631,Теплоходный проезд,56.8633863,60.5406554,tram_stop,Екатеринбург,8a10c22832cffff
192237651,Колмогорова,56.8465003,60.5581495,tram_stop,Екатеринбург,8a10c229d46ffff
192237652,Колмогорова,56.8459447,60.5585561,tram_stop,Екатеринбург,8a10c229d46ffff
192237673,Кирова,56.8401587,60.5595626,tram_stop,Екатеринбург,8a10c2298b2ffff
192237697,Красноуральская,56.8359007,60.5554851,tram_stop,Екатеринбург,8a10c229885ffff
192244916,Малый Конный,56.8393185,60.5189041,tram_stop,Екатеринбург,8a10c229c027fff
192244940,Зелёный остров,56.8441783,60.4995323,tram_stop,Екатеринбург,8a10c228266ffff
192254972,ВИЗ-бульвар,56.8381154,60.5753413,tram_stop,Екатеринбург,8a10c2299d87fff
192254973,Крылова,56.8395344,60.5703144,tram_stop,Екатеринбург,8a10c2298a4ffff
192267457,Педуниверситет,56.8779506,60.612066,tram_stop,Екатеринбург,8a10c228bc2ffff
192267468,Калининская,56.8723394,60.6114251,tram_stop,Екатеринбург,8a10c228bc97fff
192267472,1-й км,56.8629758,60.6120293,tram_stop,Екатеринбург,8a10dc924917fff
192267489,Пионерская,56.8601709,60.6184444,tram_stop,Екатеринбург,8a10dc9248affff
192275125,Техническое училище,56.8686037,60.6116386,tram_stop,Екатеринбург,8a10c228a257fff
192282588,Метро Уралмаш,56.887534,60.6126049,tram_stop,Екатеринбург,8a10c228b957fff
192282606,УЗТМ,56.8859723,60.594578,tram_stop,Екатеринбург,8a10c22880dffff
192284221,Кузнецова,56.8884664,60.6081541,tram_stop,Екатеринбург,8a10c22882d7fff
192284229,ДК Лаврова,56.8930715,60.6134833,tram_stop,Екатеринбург,8a10c22895affff
192284245,Уральских рабочих,56.9017117,60.5831806,tram_stop,Екатеринбург,8a10c228d4f7fff
192286561,Машиностроителей,56.8850922,60.5848131,tram_stop,Екатеринбург,8a10c22880b7fff
212609472,Московская,56.8290335,60.5835175,tram_stop,Екатеринбург,8a10c22982dffff
410991507,Студенческая,56.8584361,60.6562054,tram_stop,Екатеринбург,8a10dc925597fff
410991513,Сахалинская,56.8618499,60.663362,tram_stop,Екатеринбург,8a10dc92540ffff
411826404,Шварца,56.7962842,60.6103941,tram_stop,Екатеринбург,8a10dc9340cffff
